id,address,number,postal_code,municipality,province,unique_address,points_coordinates,lat,lng
12053.0,bvd lambermont,236,1030,bruxelles,bruxelles-brussel,"bvd lambermont,236,1030,bruxelles,bruxelles-brussel","(4.3847467, 50.8695475)",50.8695475,4.3847467
12054.0,smallandlaan,7,2660,hoboken,antwerpen,"smallandlaan,7,2660,hoboken,antwerpen","(4.3363358, 51.1815715)",51.1815715,4.3363358
12058.0,rue albert ier,9,7642,calonne,hainaut,"rue albert ier,9,7642,calonne,hainaut","(3.4396239, 50.5758997)",50.5758997,3.4396239
12059.0,rue du petit pavé,39,7641,bruyelle,hainaut,"rue du petit pavé,39,7641,bruyelle,hainaut","(3.4250427, 50.55617520000001)",50.55617520000001,3.4250427
12060.0,rue des ecoles,11,7640,péronnes,hainaut,"rue des ecoles,11,7640,péronnes,hainaut","(3.4547779, 50.55032660000001)",50.55032660000001,3.4547779
12061.0,rue paul pastur,43,7643,fontenoy,hainaut,"rue paul pastur,43,7643,fontenoy,hainaut","(3.4757324, 50.5638806)",50.5638806,3.4757324
12062.0,rue de la communauté urbaine du centre,1,7110,houdeng goegnies,hainaut,"rue de la communauté urbaine du centre,1,7110,houdeng goegnies,hainaut","(4.1761794, 50.4975063)",50.4975063,4.1761794
12063.0,anker,15,9260,serskamp,oost-vlaanderen,"anker,15,9260,serskamp,oost-vlaanderen","(3.9218418, 50.9913596)",50.9913596,3.9218418
12064.0,geslecht,2,9130,doel,oost-vlaanderen,"geslecht,2,9130,doel,oost-vlaanderen","(4.2738065, 51.2924851)",51.2924851,4.2738065
12070.0,vrijheid,13,2320,hoogstraten,antwerpen,"vrijheid,13,2320,hoogstraten,antwerpen","(4.7633532, 51.4064479)",51.4064479,4.7633532
12071.0,kortrijksesteenweg,244,8530,harelbeke,west-vlaanderen,"kortrijksesteenweg,244,8530,harelbeke,west-vlaanderen","(3.2956662, 50.84598339999999)",50.84598339999999,3.2956662
12072.0,route de alle 3,3,6830,rochehaut,luxembourg,"route de alle 3,3,6830,rochehaut,luxembourg","(5.0048634, 49.840103)",49.840103,5.0048634
12073.0,esplanade du val 1,1,4100,seraing,liège,"esplanade du val 1,1,4100,seraing,liège","(5.49247, 50.59484)",50.59484,5.49247
12074.0,rue des freres taymans,5,1480,tubize,hainaut,"rue des freres taymans,5,1480,tubize,hainaut","(4.2054919, 50.6901174)",50.6901174,4.2054919
12075.0,musee abbaye 1,1,4100,seraing,liège,"musee abbaye 1,1,4100,seraing,liège","(5.499188699999999, 50.6069766)",50.6069766,5.499188699999999
12076.0,rue jules hans,1,1412,braine l alleud,brabant wallon,"rue jules hans,1,1412,braine l alleud,brabant wallon","(4.371540299999999, 50.6837305)",50.6837305,4.371540299999999
12079.0,chausse louvain 66,66,1410,waterloo,brabant wallon,"chausse louvain 66,66,1410,waterloo,brabant wallon","(4.4140155, 50.6920616)",50.6920616,4.4140155
12080.0,rue du chateau,1,1420,braine l alleud,brabant wallon,"rue du chateau,1,1420,braine l alleud,brabant wallon","(4.3688785, 50.68250920000001)",50.68250920000001,4.3688785
12081.0,rue du presbytere 5,5,1360,therenbais les beguines,brabant wallon,"rue du presbytere 5,5,1360,therenbais les beguines,brabant wallon","(4.818641599999999, 50.6580951)",50.6580951,4.818641599999999
12082.0,chaussée d ath,1,7850,enghien,hainaut,"chaussée d ath,1,7850,enghien,hainaut","(4.0297409, 50.68935440000001)",50.68935440000001,4.0297409
12083.0,avenue andré ernst,19,4682,verviers,liège,"avenue andré ernst,19,4682,verviers,liège","(5.8346174, 50.6202952)",50.6202952,5.8346174
12084.0,rue de la gare,7,4217,héron,liège,"rue de la gare,7,4217,héron,liège","(5.0937889, 50.54713899999999)",50.54713899999999,5.0937889
12085.0,place communale,1,4218,couthuin,liège,"place communale,1,4218,couthuin,liège","(5.1398074, 50.5286339)",50.5286339,5.1398074
12086.0,place fayat,1,4217,lavoir,liège,"place fayat,1,4217,lavoir,liège","(5.126009, 50.5484508)",50.5484508,5.126009
12087.0,pravée,32,4218,couthuin,liège,"pravée,32,4218,couthuin,liège","(5.124641599999999, 50.5231907)",50.5231907,5.124641599999999
12088.0,chaussée de wavre,78,4217,waret l evêque,liège,"chaussée de wavre,78,4217,waret l evêque,liège","(5.060082599999999, 50.550636)",50.550636,5.060082599999999
12089.0,saint martin,18,4217,héron,liège,"saint martin,18,4217,héron,liège","(5.0979506, 50.5509528)",50.5509528,5.0979506
12091.0,groenestraat,250,8800,roeselare,west-vlaanderen,"groenestraat,250,8800,roeselare,west-vlaanderen","(3.1002055, 50.9399239)",50.9399239,3.1002055
12092.0,nijverheidspark,10,3580,beringen,limburg,"nijverheidspark,10,3580,beringen,limburg","(5.2176405, 51.0559717)",51.0559717,5.2176405
12093.0,ervaert,4,3840,borgloon,limburg,"ervaert,4,3840,borgloon,limburg","(5.3442184, 50.8092741)",50.8092741,5.3442184
12094.0,zwarte-brugstraat,1,3500,hasselt,limburg,"zwarte-brugstraat,1,3500,hasselt,limburg","(5.3295688, 50.9441474)",50.9441474,5.3295688
12095.0,industrieweg,1096,3540,herk-de-stad,limburg,"industrieweg,1096,3540,herk-de-stad,limburg","(5.1716121, 50.9452535)",50.9452535,5.1716121
12096.0,koerselsebaan,59,3550,heusden-zolder,limburg,"koerselsebaan,59,3550,heusden-zolder,limburg","(5.280965399999999, 51.03727139999999)",51.03727139999999,5.280965399999999
